reactants,products
C1H4 + O2,CO2 + H2O
C2H6 + O2,CO2 + H2O
C3H8 + O2,CO2 + H2O
C4H10 + O2,CO2 + H2O
C5H12 + O2,CO2 + H2O
C6H14 + O2,CO2 + H2O
C7H16 + O2,CO2 + H2O
C8H18 + O2,CO2 + H2O
C9H20 + O2,CO2 + H2O
C10H22 + O2,CO2 + H2O
C11H24 + O2,CO2 + H2O
C12H26 + O2,CO2 + H2O
C13H28 + O2,CO2 + H2O
C14H30 + O2,CO2 + H2O
C15H32 + O2,CO2 + H2O
C16H34 + O2,CO2 + H2O
C17H36 + O2,CO2 + H2O
C18H38 + O2,CO2 + H2O
C19H40 + O2,CO2 + H2O
C20H42 + O2,CO2 + H2O
C21H44 + O2,CO2 + H2O
C22H46 + O2,CO2 + H2O
C23H48 + O2,CO2 + H2O
C24H50 + O2,CO2 + H2O
C25H52 + O2,CO2 + H2O
C26H54 + O2,CO2 + H2O
C27H56 + O2,CO2 + H2O
C28H58 + O2,CO2 + H2O
C29H60 + O2,CO2 + H2O
C30H62 + O2,CO2 + H2O
C31H64 + O2,CO2 + H2O
C32H66 + O2,CO2 + H2O
C33H68 + O2,CO2 + H2O
C34H70 + O2,CO2 + H2O
C35H72 + O2,CO2 + H2O
C36H74 + O2,CO2 + H2O
C37H76 + O2,CO2 + H2O
C38H78 + O2,CO2 + H2O
C39H80 + O2,CO2 + H2O
C40H82 + O2,CO2 + H2O
C41H84 + O2,CO2 + H2O
C42H86 + O2,CO2 + H2O
C43H88 + O2,CO2 + H2O
C44H90 + O2,CO2 + H2O
C45H92 + O2,CO2 + H2O
C46H94 + O2,CO2 + H2O
C47H96 + O2,CO2 + H2O
C48H98 + O2,CO2 + H2O
C49H100 + O2,CO2 + H2O
C50H102 + O2,CO2 + H2O
C51H104 + O2,CO2 + H2O
C52H106 + O2,CO2 + H2O
C53H108 + O2,CO2 + H2O
C54H110 + O2,CO2 + H2O
C55H112 + O2,CO2 + H2O
C56H114 + O2,CO2 + H2O
C57H116 + O2,CO2 + H2O
C58H118 + O2,CO2 + H2O
C59H120 + O2,CO2 + H2O
C60H122 + O2,CO2 + H2O
C61H124 + O2,CO2 + H2O
C62H126 + O2,CO2 + H2O
C63H128 + O2,CO2 + H2O
C64H130 + O2,CO2 + H2O
C65H132 + O2,CO2 + H2O
C66H134 + O2,CO2 + H2O
C67H136 + O2,CO2 + H2O
C68H138 + O2,CO2 + H2O
C69H140 + O2,CO2 + H2O
C70H142 + O2,CO2 + H2O
C71H144 + O2,CO2 + H2O
C72H146 + O2,CO2 + H2O
C73H148 + O2,CO2 + H2O
C74H150 + O2,CO2 + H2O
C75H152 + O2,CO2 + H2O
C76H154 + O2,CO2 + H2O
C77H156 + O2,CO2 + H2O
C78H158 + O2,CO2 + H2O
C79H160 + O2,CO2 + H2O
C80H162 + O2,CO2 + H2O
C81H164 + O2,CO2 + H2O
C82H166 + O2,CO2 + H2O
C83H168 + O2,CO2 + H2O
C84H170 + O2,CO2 + H2O
C85H172 + O2,CO2 + H2O
C86H174 + O2,CO2 + H2O
C87H176 + O2,CO2 + H2O
C88H178 + O2,CO2 + H2O
C89H180 + O2,CO2 + H2O
C90H182 + O2,CO2 + H2O
C91H184 + O2,CO2 + H2O
C92H186 + O2,CO2 + H2O
C93H188 + O2,CO2 + H2O
C94H190 + O2,CO2 + H2O
C95H192 + O2,CO2 + H2O
C96H194 + O2,CO2 + H2O
C97H196 + O2,CO2 + H2O
C98H198 + O2,CO2 + H2O
C99H200 + O2,CO2 + H2O
C100H202 + O2,CO2 + H2O
C101H204 + O2,CO2 + H2O
C102H206 + O2,CO2 + H2O
C103H208 + O2,CO2 + H2O
C104H210 + O2,CO2 + H2O
C105H212 + O2,CO2 + H2O
C106H214 + O2,CO2 + H2O
C107H216 + O2,CO2 + H2O
C108H218 + O2,CO2 + H2O
C109H220 + O2,CO2 + H2O
C110H222 + O2,CO2 + H2O
C111H224 + O2,CO2 + H2O
C112H226 + O2,CO2 + H2O
C113H228 + O2,CO2 + H2O
C114H230 + O2,CO2 + H2O
C115H232 + O2,CO2 + H2O
C116H234 + O2,CO2 + H2O
C117H236 + O2,CO2 + H2O
C118H238 + O2,CO2 + H2O
C119H240 + O2,CO2 + H2O
C120H242 + O2,CO2 + H2O
C121H244 + O2,CO2 + H2O
C122H246 + O2,CO2 + H2O
C123H248 + O2,CO2 + H2O
C124H250 + O2,CO2 + H2O
C125H252 + O2,CO2 + H2O
C126H254 + O2,CO2 + H2O
C127H256 + O2,CO2 + H2O
C128H258 + O2,CO2 + H2O
C129H260 + O2,CO2 + H2O
C130H262 + O2,CO2 + H2O
C131H264 + O2,CO2 + H2O
C132H266 + O2,CO2 + H2O
C133H268 + O2,CO2 + H2O
C134H270 + O2,CO2 + H2O
C135H272 + O2,CO2 + H2O
C136H274 + O2,CO2 + H2O
C137H276 + O2,CO2 + H2O
C138H278 + O2,CO2 + H2O
C139H280 + O2,CO2 + H2O
C140H282 + O2,CO2 + H2O
C141H284 + O2,CO2 + H2O
C142H286 + O2,CO2 + H2O
C143H288 + O2,CO2 + H2O
C144H290 + O2,CO2 + H2O
C145H292 + O2,CO2 + H2O
C146H294 + O2,CO2 + H2O
C147H296 + O2,CO2 + H2O
C148H298 + O2,CO2 + H2O
C149H300 + O2,CO2 + H2O
C150H302 + O2,CO2 + H2O
C151H304 + O2,CO2 + H2O
C152H306 + O2,CO2 + H2O
C153H308 + O2,CO2 + H2O
C154H310 + O2,CO2 + H2O
C155H312 + O2,CO2 + H2O
C156H314 + O2,CO2 + H2O
C157H316 + O2,CO2 + H2O
C158H318 + O2,CO2 + H2O
C159H320 + O2,CO2 + H2O
C160H322 + O2,CO2 + H2O
C161H324 + O2,CO2 + H2O
C162H326 + O2,CO2 + H2O
C163H328 + O2,CO2 + H2O
C164H330 + O2,CO2 + H2O
C165H332 + O2,CO2 + H2O
C166H334 + O2,CO2 + H2O
C167H336 + O2,CO2 + H2O
C168H338 + O2,CO2 + H2O
C169H340 + O2,CO2 + H2O
C170H342 + O2,CO2 + H2O
C171H344 + O2,CO2 + H2O
C172H346 + O2,CO2 + H2O
C173H348 + O2,CO2 + H2O
C174H350 + O2,CO2 + H2O
C175H352 + O2,CO2 + H2O
C176H354 + O2,CO2 + H2O
C177H356 + O2,CO2 + H2O
C178H358 + O2,CO2 + H2O
C179H360 + O2,CO2 + H2O
C180H362 + O2,CO2 + H2O
C181H364 + O2,CO2 + H2O
C182H366 + O2,CO2 + H2O
C183H368 + O2,CO2 + H2O
C184H370 + O2,CO2 + H2O
C185H372 + O2,CO2 + H2O
C186H374 + O2,CO2 + H2O
C187H376 + O2,CO2 + H2O
C188H378 + O2,CO2 + H2O
C189H380 + O2,CO2 + H2O
C190H382 + O2,CO2 + H2O
C191H384 + O2,CO2 + H2O
C192H386 + O2,CO2 + H2O
C193H388 + O2,CO2 + H2O
C194H390 + O2,CO2 + H2O
C195H392 + O2,CO2 + H2O
C196H394 + O2,CO2 + H2O
C197H396 + O2,CO2 + H2O
C198H398 + O2,CO2 + H2O
C199H400 + O2,CO2 + H2O
C200H402 + O2,CO2 + H2O
C201H404 + O2,CO2 + H2O
C202H406 + O2,CO2 + H2O
C203H408 + O2,CO2 + H2O
C204H410 + O2,CO2 + H2O
C205H412 + O2,CO2 + H2O
C206H414 + O2,CO2 + H2O
C207H416 + O2,CO2 + H2O
C208H418 + O2,CO2 + H2O
C209H420 + O2,CO2 + H2O
C210H422 + O2,CO2 + H2O
C211H424 + O2,CO2 + H2O
C212H426 + O2,CO2 + H2O
C213H428 + O2,CO2 + H2O
C214H430 + O2,CO2 + H2O
C215H432 + O2,CO2 + H2O
C216H434 + O2,CO2 + H2O
C217H436 + O2,CO2 + H2O
C218H438 + O2,CO2 + H2O
C219H440 + O2,CO2 + H2O
C220H442 + O2,CO2 + H2O
C221H444 + O2,CO2 + H2O
C222H446 + O2,CO2 + H2O
C223H448 + O2,CO2 + H2O
C224H450 + O2,CO2 + H2O
C225H452 + O2,CO2 + H2O
C226H454 + O2,CO2 + H2O
C227H456 + O2,CO2 + H2O
C228H458 + O2,CO2 + H2O
C229H460 + O2,CO2 + H2O
C230H462 + O2,CO2 + H2O
C231H464 + O2,CO2 + H2O
C232H466 + O2,CO2 + H2O
C233H468 + O2,CO2 + H2O
C234H470 + O2,CO2 + H2O
C235H472 + O2,CO2 + H2O
C236H474 + O2,CO2 + H2O
C237H476 + O2,CO2 + H2O
C238H478 + O2,CO2 + H2O
C239H480 + O2,CO2 + H2O
C240H482 + O2,CO2 + H2O
C241H484 + O2,CO2 + H2O
C242H486 + O2,CO2 + H2O
C243H488 + O2,CO2 + H2O
C244H490 + O2,CO2 + H2O
C245H492 + O2,CO2 + H2O
C246H494 + O2,CO2 + H2O
C247H496 + O2,CO2 + H2O
C248H498 + O2,CO2 + H2O
C249H500 + O2,CO2 + H2O
C250H502 + O2,CO2 + H2O
C251H504 + O2,CO2 + H2O
C252H506 + O2,CO2 + H2O
C253H508 + O2,CO2 + H2O
C254H510 + O2,CO2 + H2O
C255H512 + O2,CO2 + H2O
C256H514 + O2,CO2 + H2O
C257H516 + O2,CO2 + H2O
C258H518 + O2,CO2 + H2O
C259H520 + O2,CO2 + H2O
C260H522 + O2,CO2 + H2O
C261H524 + O2,CO2 + H2O
C262H526 + O2,CO2 + H2O
C263H528 + O2,CO2 + H2O
C264H530 + O2,CO2 + H2O
C265H532 + O2,CO2 + H2O
C266H534 + O2,CO2 + H2O
C267H536 + O2,CO2 + H2O
C268H538 + O2,CO2 + H2O
C269H540 + O2,CO2 + H2O
C270H542 + O2,CO2 + H2O
